latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
15.4359,100.030121,334.95,0.46,0.47,2019-04-01,0610,N,VIIRS,n,1,301.28,2.14,D,0
15.584776,100.763275,340.88,0.41,0.45,2019-04-01,0610,N,VIIRS,n,1,290.37,4.56,D,0
15.472144,100.058243,331.29,0.46,0.47,2019-04-01,0610,N,VIIRS,n,1,300.48,2.01,D,0
15.303576,99.130241,334.33,0.53,0.5,2019-04-01,0610,N,VIIRS,n,1,298.21,4.82,D,0
15.302749,99.125748,330.65,0.53,0.5,2019-04-01,0610,N,VIIRS,n,1,298.5,5.91,D,0
15.30258,99.127602,345.39,0.53,0.5,2019-04-01,0610,N,VIIRS,n,1,299.76,9.07,D,0
15.60323,100.616005,347.53,0.42,0.45,2019-04-01,0610,N,VIIRS,n,1,295.59,6.67,D,0
15.751921,101.419769,333.21,0.56,0.43,2019-04-01,0610,N,VIIRS,n,1,289.33,5.15,D,0
15.340304,99.176315,339.23,0.52,0.5,2019-04-01,0610,N,VIIRS,n,1,301.48,5.92,D,0
15.755816,101.418892,346.82,0.56,0.43,2019-04-01,0610,N,VIIRS,n,1,288.69,5.15,D,0
15.760654,101.423332,340.67,0.56,0.43,2019-04-01,0610,N,VIIRS,n,1,289.43,6.97,D,0
15.194785,98.363976,333.35,0.59,0.53,2019-04-01,0610,N,VIIRS,n,1,297.6,4.91,D,0
15.363889,99.201141,340.18,0.52,0.5,2019-04-01,0610,N,VIIRS,n,1,303.28,10.75,D,0
15.368438,99.200241,367,0.52,0.5,2019-04-01,0610,N,VIIRS,h,1,302.66,10.75,D,0
15.513298,99.980774,343.4,0.46,0.47,2019-04-01,0610,N,VIIRS,n,1,300.71,6.66,D,0
15.630713,100.578583,340.38,0.42,0.45,2019-04-01,0610,N,VIIRS,n,1,295.61,6.45,D,0
15.262491,98.483559,345.81,0.58,0.52,2019-04-01,0610,N,VIIRS,n,1,298.96,20.54,D,0
15.267293,98.482704,342.4,0.58,0.52,2019-04-01,0610,N,VIIRS,n,1,295.27,13.25,D,0
